No.,Server 맵,size,R/W,Name,DIGIT,설명,Data 형태,스케일
GIPAM#1,28,2,R,Frequency,-1,주파수,SGL,1
GIPAM#1,30,2,R,PF,-1,역률,SGL,1
GIPAM#1,32,2,R,ActivePower,-1,순방향 전력(W -> KW),SGL,0.001
GIPAM#1,34,2,R,ReactivePower,-1,역방향 전력(W -> KW),SGL,0.001
GIPAM#1,36,2,R,ApparentPower,-1,,SGL,1
GIPAM#1,38,2,R,TotalForwardActiveEnergyHigh,-1,송전 전력량 상위 (발전용량),SGL,1
GIPAM#1,40,2,R,TotalForwardActiveEnergyLow,-1,송전 전력량 하위 (발전용량),SGL,1
GIPAM#1,42,2,R,TotalReverseActiveEnergyHigh,-1,수전 전력량 상위 (사용량),SGL,1
GIPAM#1,44,2,R,TotalReverseActiveEnergyLow,-1,수전 전력량 하위 (사용량),SGL,1
GIPAM#2,78,2,R,Frequency,-1,주파수,SGL,1
GIPAM#2,80,2,R,PF,-1,역률,SGL,1
GIPAM#2,82,2,R,ActivePower,-1,순방향 전력(W -> KW),SGL,0.001
GIPAM#2,84,2,R,ReactivePower,-1,역방향 전력(W -> KW),SGL,0.001
GIPAM#2,86,2,R,ApparentPower,-1,,SGL,1
GIPAM#2,88,2,R,TotalForwardActiveEnergyHigh,-1,송전 전력량 상위 (발전용량),SGL,1
GIPAM#2,90,2,R,TotalForwardActiveEnergyLow,-1,송전 전력량 하위 (발전용량),SGL,1
GIPAM#2,92,2,R,TotalReverseActiveEnergyHigh,-1,수전 전력량 상위 (사용량),SGL,1
GIPAM#2,94,2,R,TotalReverseActiveEnergyLow,-1,수전 전력량 하위 (사용량),SGL,1
PCS#1,502,2,R,DCPower,-1,BAT Power,U32,0.1
PCS#1,504,2,R,DCVoltagePcs,-1,DC Voltage of PCS Side,U32,0.1
PCS#1,506,2,R,DCCurrent,-1,BAT Current,I32,1
PCS#1,508,2,R,DCVoltageStorage,-1,DC Voltage of Storage Side,U32,0.1
PCS#1,514,2,R,ActivePower,-1,Grid Power,I32,0.1
PCS#1,516,2,R,GridVoltageR,-1,Grid Voltage R,U32,0.1
PCS#1,518,2,R,GridVoltageS,-1,Grid Voltage S,U32,0.1
PCS#1,520,2,R,GridVoltageT,-1,Grid Voltage T,U32,0.1
PCS#1,522,2,R,GridCurrentR,-1,Grid Current R,I32,0.01
PCS#1,524,2,R,GridCurrentS,-1,Grid Current S,I32,0.01
PCS#1,526,2,R,GridCurrentT,-1,Grid Current T,I32,0.01
PCS#1,528,2,R,GridFrequency,-1,Grid Frequency,U32,0.01
PCS#1,530,2,R,InverterTemperature,-1,Inverter Temperature,U32,0.1
PCS#1,532,2,R,CabinetTemperature,-1,Cabinet Temperature ,U32,0.1
PCS#1,536,2,R,InverterVoltageR,-1,Inverter Voltage R,U32,0.1
PCS#1,538,2,R,InverterVoltageS,-1,Inverter Voltage S,U32,0.1
PCS#1,540,2,R,InverterVoltageT,-1,Inverter Voltage T,U32,0.1
PCS#1,544,2,R,InverterCurrentR,-1,Inverter Current R,I32,0.1
PCS#1,546,2,R,InverterCurrentS,-1,Inverter Current S,I32,0.1
PCS#1,548,2,R,InverterCurrentT,-1,Inverter Current T,I32,0.1
PCS#1,560,1,R,TotalChargeyieldKilo,-1,Total Charge yield (Kilo),U16,0.1
PCS#1,561,1,R,TotalChargeyieldMega,-1,Total Charge yield(Mega) ,U16,1
PCS#1,562,1,R,TotalDischargeyieldKilo,-1,Total Discharge yield (Kilo),U16,0.1
PCS#1,563,1,R,TotalDishargeyieldMega,-1,Total Disharge yield(Mega),U16,1
PCS#1,564,1,R,OperationStatus,-1,Operation Status,U16,1
PCS#1,565,1,R,Alarm1,-1,Alarm #1,U16,1
PCS#1,566,1,R,Alarm2,-1,Alarm #2,U16,1
PCS#1,567,1,R,InverterStatus,-1,Inverter Status,U16,1
PCS#1,568,1,R,Year,-1,Year,U16,1
PCS#1,569,1,R,Month,-1,Month,U16,1
PCS#1,570,1,R,Day,-1,Day,U16,1
PCS#1,571,1,R,Hour,-1,Hour,U16,1
PCS#1,572,1,R,Minute,-1,Minute,U16,1
PCS#1,573,1,R,Second,-1,Second,U16,1
PCS#2,700,2,R,MODBUSCounter,-1,MODBUS Counter,U32,1
PCS#2,702,2,R,BATPower,-1,BAT Power,U32,0.1
PCS#2,704,2,R,DCVoltageofPCSSide,-1,DC Voltage of PCS Side,U32,0.1
PCS#2,706,2,R,BATCurrent,-1,BAT Current,I32,1
PCS#2,708,2,R,DCVoltageofStorageSide,-1,DC Voltage of Storage Side,U32,0.1
PCS#2,710,2,R,Irradiation,-1, Irradiation ,U32,0.1
PCS#2,712,2,R,BATIsolationResistance,-1,BAT Isolation Resistance ,U32,0.1
PCS#2,714,2,R,ActivePower,-1,Grid Power,I32,0.1
PCS#2,716,2,R,GridVoltageR,-1,Grid Voltage R,U32,0.1
PCS#2,718,2,R,GridVoltageS,-1,Grid Voltage S,U32,0.1
PCS#2,720,2,R,GridVoltageT,-1,Grid Voltage T,U32,0.1
PCS#2,722,2,R,GridCurrentR,-1,Grid Current R,I32,0.01
PCS#2,724,2,R,GridCurrentS,-1,Grid Current S,I32,0.01
PCS#2,726,2,R,GridCurrentT,-1,Grid Current T,I32,0.01
PCS#2,728,2,R,GridFrequency,-1,Grid Frequency,U32,0.01
PCS#2,730,2,R,InverterTemperature,-1,Inverter Temperature,U32,0.1
PCS#2,732,2,R,CabinetTemperature,-1,Cabinet Temperature ,U32,0.1
PCS#2,734,2,R,reserved,-1,reserved,U32,0.1
PCS#2,736,2,R,InverterVoltageR,-1,Inverter Voltage R,U32,0.1
PCS#2,738,2,R,InverterVoltageS,-1,Inverter Voltage S,U32,0.1
PCS#2,740,2,R,InverterVoltageT,-1,Inverter Voltage T,U32,0.1
PCS#2,742,2,R,reserved,-1,reserved,U32,0.1
PCS#2,744,2,R,InverterCurrentR,-1,Inverter Current R,I32,0.1
PCS#2,746,2,R,InverterCurrentS,-1,Inverter Current S,I32,0.1
PCS#2,748,2,R,InverterCurrentT,-1,Inverter Current T,I32,0.1
PCS#2,760,1,R,TotalChargeyieldKilo,-1,Total Charge yield (Kilo),U16,0.1
PCS#2,761,1,R,TotalChargeyieldMega,-1,Total Charge yield(Mega) ,U16,1
PCS#2,762,1,R,TotalDischargeyieldKilo,-1,Total Discharge yield (Kilo),U16,0.1
PCS#2,763,1,R,TotalDishargeyieldMega,-1,Total Disharge yield(Mega),U16,1
PCS#2,764,1,R,OperationStatus,-1,Operation Status,U16,1
PCS#2,765,1,R,Alarm1,-1,Alarm #1,U16,1
PCS#2,766,1,R,Alarm2,-1,Alarm #2,U16,1
PCS#2,767,1,R,InverterStatus,-1,Inverter Status,U16,1
PCS#2,768,1,R,Year,-1,Year,U16,1
PCS#2,769,1,R,Month,-1,Month,U16,1
PCS#2,770,1,R,Day,-1,Day,U16,1
PCS#2,771,1,R,Hour,-1,Hour,U16,1
PCS#2,772,1,R,Minute,-1,Minute,U16,1
PCS#2,773,1,R,Second,-1,Second,U16,1
PCS#3,900,2,R,MODBUSCounter,-1,MODBUS Counter,U32,1
PCS#3,902,2,R,BATPower,-1,BAT Power,U32,0.1
PCS#3,904,2,R,DCVoltageofPCSSide,-1,DC Voltage of PCS Side,U32,0.1
PCS#3,906,2,R,BATCurrent,-1,BAT Current,I32,1
PCS#3,908,2,R,DCVoltageofStorageSide,-1,DC Voltage of Storage Side,U32,0.1
PCS#3,910,2,R,Irradiation,-1, Irradiation ,U32,0.1
PCS#3,912,2,R,BATIsolationResistance,-1,BAT Isolation Resistance ,U32,0.1
PCS#3,914,2,R,ActivePower,-1,Grid Power,I32,0.1
PCS#3,916,2,R,GridVoltageR,-1,Grid Voltage R,U32,0.1
